epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6692,1.61979,2.73437,1.39542,0.81427,0.44394,0.60114,0.28854,1.47288,1.69672,1.27365,0.000472118,0.000472118,0.000472118
2,60.2838,1.35392,1.6363,1.27071,0.76164,0.73817,0.7993,0.48264,1.30395,1.26718,1.20199,0.000942192,0.000942192,0.000942192
3,85.6248,1.29949,1.30763,1.2404,0.77013,0.7375,0.8096,0.45788,1.33575,1.06058,1.24596,0.00140598,0.00140598,0.00140598
4,111.186,1.26543,1.15548,1.22693,0.78521,0.68913,0.77806,0.48503,1.13555,0.99929,1.11063,0.00140071,0.00140071,0.00140071
5,135.508,1.1924,1.03865,1.18625,0.79196,0.74354,0.84401,0.52811,1.10384,0.91029,1.11377,0.00139127,0.00139127,0.00139127
6,157.668,1.14647,0.96241,1.16463,0.79886,0.61068,0.70205,0.43731,1.21926,1.18394,1.15905,0.00138184,0.00138184,0.00138184
7,179.794,1.11273,0.92883,1.1415,0.84465,0.74395,0.83717,0.54545,1.17193,0.80261,1.14361,0.00137241,0.00137241,0.00137241
8,201.332,1.07349,0.88402,1.12983,0.843,0.84432,0.91955,0.56516,1.10332,0.72714,1.07296,0.00136298,0.00136298,0.00136298
9,223.05,1.0646,0.85857,1.12264,0.86664,0.81951,0.89252,0.62528,0.92958,0.7291,1.03679,0.00135355,0.00135355,0.00135355
10,245.126,1.02211,0.82443,1.09981,0.90384,0.81884,0.90002,0.59303,1.03613,0.72257,1.06424,0.00134412,0.00134412,0.00134412
11,267.037,1.02357,0.81871,1.10513,0.90728,0.84182,0.92661,0.6695,0.9081,0.67279,1.0099,0.00133469,0.00133469,0.00133469
12,289.062,1.01525,0.78975,1.09623,0.85626,0.79863,0.86872,0.58811,0.99935,0.76721,1.04526,0.00132525,0.00132525,0.00132525
13,311.022,0.99356,0.7792,1.09042,0.90516,0.84953,0.92477,0.646,0.9256,0.61193,1.00713,0.00131582,0.00131582,0.00131582
14,333.635,0.96702,0.77594,1.07905,0.88351,0.88418,0.9412,0.68677,0.84925,0.57289,0.99706,0.00130639,0.00130639,0.00130639
15,355.232,0.96469,0.76868,1.08251,0.90342,0.84308,0.9138,0.62018,0.96667,0.62585,1.03187,0.00129696,0.00129696,0.00129696
16,376.776,0.95181,0.74854,1.07596,0.93476,0.85911,0.94333,0.68837,0.85465,0.56186,0.99442,0.00128753,0.00128753,0.00128753
17,398.806,0.94858,0.73892,1.06875,0.92962,0.85128,0.93613,0.65163,0.90276,0.57034,1.00792,0.0012781,0.0012781,0.0012781
18,420.704,0.91996,0.723,1.05716,0.93509,0.88533,0.95005,0.69387,0.80164,0.54246,0.97013,0.00126867,0.00126867,0.00126867
19,442.351,0.9265,0.71146,1.06139,0.92528,0.86113,0.94305,0.70051,0.81536,0.53323,0.9719,0.00125923,0.00125923,0.00125923
20,466.316,0.90098,0.70204,1.05149,0.91725,0.85366,0.93952,0.70291,0.80427,0.55361,0.96244,0.0012498,0.0012498,0.0012498
