epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9604,1.56523,1.98653,1.56226,0.66463,0.62532,0.7058,0.38665,1.24636,1.29181,1.32302,0.067146,0.000331858,0.000331858
2,66.0416,1.2886,1.24358,1.35233,0.61066,0.57442,0.59334,0.3719,1.21214,1.24365,1.31846,0.0341416,0.000660801,0.000660801
3,97.64,1.24436,1.15557,1.33021,0.7183,0.69855,0.71825,0.3861,1.29176,1.45551,1.34115,0.00113284,0.000985345,0.000985345
4,130.523,1.20618,1.08556,1.30538,0.8907,0.83126,0.90498,0.60922,1.02224,0.74749,1.18263,0.0009802,0.0009802,0.0009802
5,160.092,1.15128,1.00904,1.26168,0.87764,0.80725,0.88394,0.59843,0.98465,0.70212,1.13609,0.0009736,0.0009736,0.0009736
6,189.585,1.12544,0.96782,1.24622,0.88931,0.85507,0.9209,0.61417,1.06023,0.7432,1.19937,0.000967,0.000967,0.000967
7,218.257,1.10841,0.94909,1.23864,0.92863,0.82147,0.92335,0.62896,1.02263,0.71718,1.16497,0.0009604,0.0009604,0.0009604
8,246.636,1.09763,0.91679,1.23033,0.92364,0.8521,0.92213,0.63917,0.97706,0.66454,1.13394,0.0009538,0.0009538,0.0009538
9,277.891,1.04485,0.87519,1.19985,0.90194,0.8331,0.9127,0.65451,0.86144,0.64116,1.07987,0.0009472,0.0009472,0.0009472
10,307.98,1.05076,0.85349,1.19414,0.87889,0.81218,0.88715,0.61737,0.90915,0.62515,1.08872,0.0009406,0.0009406,0.0009406
11,337.648,1.02862,0.84691,1.18949,0.89801,0.88092,0.93762,0.66838,0.9585,0.60529,1.11982,0.000934,0.000934,0.000934
12,369.73,1.01644,0.83494,1.17949,0.90853,0.8711,0.93365,0.67005,0.8905,0.59065,1.07572,0.0009274,0.0009274,0.0009274
13,406.6,1.01732,0.81019,1.17912,0.93331,0.84705,0.93471,0.6832,0.84396,0.57869,1.06899,0.0009208,0.0009208,0.0009208
14,441.326,0.99323,0.80502,1.16892,0.92305,0.86031,0.93611,0.65183,0.99156,0.62132,1.14432,0.0009142,0.0009142,0.0009142
15,477.212,0.97948,0.77993,1.15319,0.92145,0.88122,0.94482,0.68644,0.86061,0.55383,1.06927,0.0009076,0.0009076,0.0009076
16,513.556,0.98038,0.76608,1.15148,0.93396,0.85499,0.94525,0.69938,0.85458,0.54189,1.05782,0.000901,0.000901,0.000901
17,549.689,0.95937,0.76559,1.15153,0.92698,0.86326,0.94114,0.69262,0.91366,0.57567,1.08652,0.0008944,0.0008944,0.0008944
18,586.728,0.95065,0.76721,1.13587,0.94894,0.86955,0.94532,0.6913,0.87031,0.54669,1.05787,0.0008878,0.0008878,0.0008878
19,623.621,0.95353,0.76449,1.14729,0.92606,0.87605,0.94863,0.70816,0.78378,0.52308,1.02377,0.0008812,0.0008812,0.0008812
20,660.719,0.92663,0.73611,1.13054,0.87815,0.89856,0.93652,0.69349,0.87126,0.54248,1.06498,0.0008746,0.0008746,0.0008746
21,695.423,0.92601,0.7408,1.124,0.88563,0.87878,0.9387,0.71085,0.77534,0.55314,1.01974,0.000868,0.000868,0.000868
22,732.46,0.92316,0.73236,1.12541,0.89573,0.89117,0.94413,0.71866,0.73437,0.51922,1.00279,0.0008614,0.0008614,0.0008614
23,769.477,0.91023,0.73013,1.1177,0.91497,0.86819,0.92846,0.63603,0.93207,0.56613,1.10397,0.0008548,0.0008548,0.0008548
24,805.467,0.91431,0.70667,1.1151,0.92749,0.8919,0.94323,0.67572,0.78674,0.49684,1.02748,0.0008482,0.0008482,0.0008482
25,841.337,0.88577,0.69067,1.09934,0.94328,0.87945,0.94949,0.72096,0.73182,0.49855,0.99817,0.0008416,0.0008416,0.0008416
26,877.754,0.91887,0.7153,1.12501,0.93473,0.84601,0.93631,0.65503,0.90311,0.5491,1.07579,0.000835,0.000835,0.000835
27,914.774,0.89869,0.68963,1.10325,0.92127,0.8817,0.94486,0.70804,0.7542,0.51082,1.01222,0.0008284,0.0008284,0.0008284
28,951.736,0.88687,0.68982,1.10513,0.92012,0.89408,0.95232,0.72394,0.72377,0.47529,0.99104,0.0008218,0.0008218,0.0008218
