epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.994,2.25919,4.78872,1.88949,0.00034,0.03704,0.00334,0.00201,2.21984,5.63541,2.08905,4.287e-05,4.287e-05,4.287e-05
2,47.0432,2.30594,4.75709,1.86746,0.00084,0.07407,0.0631,0.0368,1.983,5.52986,1.7766,9.90397e-05,9.90397e-05,9.90397e-05
3,69.5799,2.1192,4.25612,1.65372,0.00159,0.11111,0.10303,0.06953,1.93307,5.22016,1.64479,0.000154078,0.000154078,0.000154078
4,92.8399,2.01839,3.9507,1.52295,0.00469,0.22222,0.12108,0.05719,1.8116,4.94757,1.37116,0.000207984,0.000207984,0.000207984
5,115.184,1.96081,3.41244,1.47283,0.00624,0.38889,0.14528,0.0511,1.76545,4.98448,1.38146,0.000260758,0.000260758,0.000260758
6,137.697,1.79723,3.60307,1.44656,0.00711,0.38889,0.18418,0.05945,1.69332,5.01542,1.41794,0.000312401,0.000312401,0.000312401
7,159.712,1.77486,2.94806,1.44467,0.00553,0.35185,0.14224,0.06881,1.63849,4.72752,1.33994,0.000362912,0.000362912,0.000362912
8,182.041,1.80189,3.1291,1.41152,0.00519,0.35185,0.13004,0.06707,1.70162,4.67882,1.29023,0.000412291,0.000412291,0.000412291
9,204.158,1.77046,2.67253,1.38555,0.00303,0.35185,0.16147,0.07673,1.7578,4.63427,1.29375,0.000460538,0.000460538,0.000460538
10,226.624,1.62816,2.98893,1.3855,0.00241,0.35185,0.1589,0.06886,1.61964,4.58741,1.24599,0.000507654,0.000507654,0.000507654
11,249.103,1.7488,2.76521,1.43075,0.00225,0.35185,0.17054,0.0838,1.606,4.53908,1.22013,0.000553637,0.000553637,0.000553637
12,271.38,1.95755,3.16718,1.53343,0.00237,0.22222,0.16086,0.07225,1.69265,4.62831,1.26564,0.000598489,0.000598489,0.000598489
13,293.614,1.85334,2.63732,1.40443,0.00209,0.38889,0.14005,0.04754,1.85224,4.75214,1.55513,0.00064221,0.00064221,0.00064221
14,316.485,1.8357,2.85645,1.42885,0.002,0.38889,0.14081,0.05105,1.96343,4.6597,1.61868,0.000684798,0.000684798,0.000684798
15,338.978,1.7534,2.35693,1.3277,1,0.10666,0.17003,0.07583,1.99021,4.47554,1.59463,0.000726255,0.000726255,0.000726255
16,361.563,1.6966,2.37282,1.37457,0.95617,0.11111,0.32353,0.15091,1.87923,4.13461,1.58568,0.00076658,0.00076658,0.00076658
17,383.461,1.72162,2.36818,1.44902,0.85639,0.11111,0.26342,0.12585,1.97304,4.2484,1.57196,0.000805773,0.000805773,0.000805773
18,405.58,1.75852,2.5404,1.38328,0.82918,0.11111,0.33826,0.17287,2.02106,4.29703,1.6373,0.000843835,0.000843835,0.000843835
19,427.959,1.65407,2.33124,1.38042,1,0.10781,0.32634,0.18795,2.01508,4.10895,1.60862,0.000880764,0.000880764,0.000880764
20,449.785,1.7869,2.40363,1.42413,1,0.1403,0.3344,0.18848,2.0918,4.32053,1.59248,0.000916562,0.000916562,0.000916562
21,472.419,1.67331,2.44902,1.37041,0.63075,0.35185,0.34307,0.16152,2.2039,4.18058,1.70821,0.000951228,0.000951228,0.000951228
22,494.654,1.69408,2.41958,1.38528,0.64336,0.35185,0.33857,0.11927,2.16999,4.3979,1.71828,0.000984762,0.000984762,0.000984762
23,517.165,1.72718,2.30045,1.39168,0.56094,0.35185,0.28297,0.1262,1.90397,4.76487,1.50648,0.00101717,0.00101717,0.00101717
24,539.779,1.60044,2.24906,1.34988,0.76435,0.11111,0.4762,0.26516,1.78343,5.2509,1.43034,0.00104844,0.00104844,0.00104844
25,562.624,1.60248,2.14799,1.33062,0.53524,0.35185,0.43873,0.23255,1.80244,4.99147,1.44221,0.00107857,0.00107857,0.00107857
26,585.122,1.58012,2.2821,1.36758,0.58376,0.35185,0.51492,0.34052,1.75012,4.50613,1.4942,0.00107532,0.00107532,0.00107532
27,609.27,1.6035,2.30512,1.30946,0.45725,0.31481,0.41876,0.2425,1.67849,4.13503,1.58211,0.00106118,0.00106118,0.00106118
28,776.589,1.54652,2.05248,1.35574,0.86864,0.17199,0.40501,0.185,1.84189,3.77981,1.63833,0.00104703,0.00104703,0.00104703
29,799.294,1.62924,2.01911,1.38799,0.90043,0.14815,0.40011,0.18002,1.98162,3.73859,1.63214,0.00103288,0.00103288,0.00103288
30,824.786,1.55552,2.02377,1.31114,0.60377,0.31481,0.52969,0.24783,1.96024,3.6813,1.56101,0.00101873,0.00101873,0.00101873
31,850.259,1.52674,2.016,1.38864,0.47563,0.48148,0.62818,0.34186,1.82087,3.60764,1.53905,0.00100459,0.00100459,0.00100459
32,878.467,1.57319,1.89413,1.33109,0.59818,0.48148,0.61061,0.35892,1.80723,3.50233,1.5164,0.00099044,0.00099044,0.00099044
33,903.301,1.51343,1.85767,1.31903,0.53579,0.58613,0.59163,0.3261,1.87897,3.02619,1.55422,0.000976293,0.000976293,0.000976293
34,930.689,1.54702,1.99425,1.31485,0.42117,0.57601,0.58164,0.31039,1.83927,3.04162,1.5452,0.000962146,0.000962146,0.000962146
35,955.252,1.52489,1.81528,1.2944,0.46305,0.59672,0.64176,0.30152,1.92402,3.08732,1.62549,0.000947999,0.000947999,0.000947999
36,977.992,1.50963,1.75132,1.24789,0.4383,0.55556,0.67151,0.30863,1.99046,3.12856,1.67195,0.000933851,0.000933851,0.000933851
37,1001.72,1.60772,1.97739,1.39987,0.92861,0.35185,0.63688,0.30591,1.99003,2.94365,1.69216,0.000919704,0.000919704,0.000919704
38,1023.93,1.50113,1.82944,1.33846,0.95973,0.35185,0.66331,0.35103,1.96251,2.65987,1.6866,0.000905557,0.000905557,0.000905557
39,1046.8,1.48109,1.71112,1.24635,0.52565,0.65067,0.72442,0.40579,1.90388,2.7199,1.63602,0.00089141,0.00089141,0.00089141
40,1069.53,1.47123,1.57839,1.21788,0.57621,0.67356,0.75393,0.35325,2.02726,2.92479,1.71477,0.000877263,0.000877263,0.000877263
41,1092.03,1.49581,1.72957,1.29316,0.59756,0.65901,0.73331,0.33649,1.97816,2.71453,1.67037,0.000863116,0.000863116,0.000863116
42,2013.24,1.39988,1.62122,1.22489,0.53912,0.87716,0.77183,0.34863,1.982,2.74329,1.67383,0.000848969,0.000848969,0.000848969
43,2035.26,1.39286,1.751,1.2549,0.59556,0.83053,0.80826,0.40633,1.93884,2.63483,1.68557,0.000834822,0.000834822,0.000834822
44,2057.01,1.47523,1.70294,1.25792,0.67887,0.74368,0.80027,0.41368,1.93573,2.3701,1.68916,0.000820675,0.000820675,0.000820675
45,2977.84,1.3326,1.54723,1.19479,0.74237,0.73493,0.81882,0.39614,1.96978,2.46519,1.65588,0.000806528,0.000806528,0.000806528
46,3000.11,1.38504,1.5856,1.2365,0.66694,0.87092,0.77487,0.40392,1.98845,2.53889,1.64307,0.00079238,0.00079238,0.00079238
47,3921.73,1.39443,1.48411,1.25468,0.55277,0.69312,0.69616,0.37129,1.91103,2.40455,1.61429,0.000778233,0.000778233,0.000778233
48,3943.75,1.37376,1.4869,1.21792,0.6197,0.68869,0.64842,0.37109,1.85079,2.36231,1.61794,0.000764086,0.000764086,0.000764086
49,4864.4,1.3076,1.51137,1.15595,0.64851,0.67311,0.56017,0.32724,1.85947,2.50398,1.60574,0.000749939,0.000749939,0.000749939
50,4886.61,1.29793,1.42592,1.17897,0.79126,0.64087,0.62162,0.36187,1.83692,2.61194,1.58313,0.000735792,0.000735792,0.000735792
51,4907.81,1.47467,1.69438,1.29196,0.79413,0.64469,0.62241,0.36845,1.84151,2.47283,1.57729,0.000721645,0.000721645,0.000721645
52,5828.57,1.35079,1.50224,1.20586,0.69684,0.64815,0.6883,0.42357,1.93355,2.43312,1.66137,0.000707498,0.000707498,0.000707498
53,5850.65,1.36445,1.47619,1.23328,0.79342,0.76598,0.79942,0.4745,1.95473,2.36809,1.63872,0.000693351,0.000693351,0.000693351
54,6772.51,1.35394,1.48283,1.24922,0.89997,0.83846,0.85933,0.51354,1.93965,2.07073,1.63279,0.000679204,0.000679204,0.000679204
55,6794.27,1.35182,1.56836,1.20669,0.84248,0.68519,0.79844,0.43205,2.00662,2.13307,1.697,0.000665057,0.000665057,0.000665057
56,6815.2,1.33848,1.46594,1.22651,0.81469,0.66107,0.74048,0.37839,2.05044,2.2156,1.77943,0.000650909,0.000650909,0.000650909
57,7764.44,1.30359,1.4415,1.21293,0.75255,0.65982,0.72432,0.33186,2.16491,2.44356,1.93597,0.000636762,0.000636762,0.000636762
58,7785.02,1.36995,1.36955,1.22649,0.7814,0.71142,0.71514,0.28039,2.18271,2.63381,1.99774,0.000622615,0.000622615,0.000622615
59,8059.82,1.38035,1.40935,1.24156,0.71353,0.71407,0.72297,0.33006,2.19344,2.59425,1.9994,0.000608468,0.000608468,0.000608468
60,8081.57,1.2794,1.31487,1.20367,0.66555,0.72222,0.71115,0.38455,2.12003,2.49829,1.89481,0.000594321,0.000594321,0.000594321
61,8296.13,1.2533,1.38058,1.22167,0.55504,0.72222,0.72448,0.38028,2.09138,2.35147,1.82548,0.000580174,0.000580174,0.000580174
62,8318.04,1.20181,1.31047,1.14613,0.56326,0.71569,0.7205,0.41405,2.07645,2.34834,1.76415,0.000566027,0.000566027,0.000566027
63,8339.9,1.24814,1.36207,1.18168,0.60684,0.66431,0.74664,0.42191,2.01307,2.11335,1.6714,0.00055188,0.00055188,0.00055188
64,8361.99,1.18047,1.3361,1.16813,0.68343,0.72143,0.76991,0.44016,1.99905,1.86782,1.62157,0.000537733,0.000537733,0.000537733
65,8383.89,1.15997,1.46991,1.09779,0.76748,0.88882,0.82046,0.46151,1.90491,1.72695,1.59868,0.000523586,0.000523586,0.000523586
66,8406.05,1.21355,1.33763,1.16054,0.67505,0.71727,0.70161,0.45116,1.84383,1.64987,1.58409,0.000509438,0.000509438,0.000509438
67,8427.66,1.16318,1.22472,1.08875,0.70143,0.88889,0.81128,0.44555,1.84265,1.66788,1.60353,0.000495291,0.000495291,0.000495291
68,8448.44,1.16402,1.37112,1.12397,0.7135,0.72222,0.75767,0.44265,1.88069,1.71904,1.64117,0.000481144,0.000481144,0.000481144
69,8469.93,1.22762,1.2644,1.12041,0.72276,0.72222,0.81128,0.41402,1.92902,1.70318,1.65621,0.000466997,0.000466997,0.000466997
70,8491.42,1.14927,1.13473,1.07543,0.76488,0.72222,0.82045,0.47702,1.88648,1.66851,1.60743,0.00045285,0.00045285,0.00045285
71,8512.88,1.20417,1.13355,1.10409,0.81802,0.71086,0.82962,0.46447,1.86044,1.63795,1.57382,0.000438703,0.000438703,0.000438703
72,8534.99,1.15287,1.23713,1.1074,0.86895,0.70451,0.82963,0.46457,1.94744,1.71934,1.60155,0.000424556,0.000424556,0.000424556
73,8557.08,1.0869,1.12968,1.06374,0.87716,0.72222,0.82964,0.4565,1.96149,1.72343,1.62499,0.000410409,0.000410409,0.000410409
74,8579.28,1.14405,1.15216,1.1417,0.74221,0.87414,0.85527,0.4383,1.97126,1.7571,1.66522,0.000396262,0.000396262,0.000396262
