epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1615,2.04243,4.63602,1.76534,0.00237,0.18333,0.09495,0.05087,1.71922,4.6134,1.42858,0.00015719,0.00015719,0.00015719
2,157.947,1.82526,3.58606,1.48986,0.00489,0.42381,0.1987,0.11488,1.42043,4.16007,1.15466,0.000326501,0.000326501,0.000326501
3,229.401,1.75234,2.95781,1.39745,0.00525,0.53571,0.28861,0.16144,1.10834,3.99377,0.99982,0.000493548,0.000493548,0.000493548
4,302.59,1.87572,2.91616,1.5016,0.00152,0.50238,0.23302,0.11166,1.69473,4.11261,1.22277,0.000658332,0.000658332,0.000658332
5,371.987,1.72932,2.73809,1.46905,0.98773,0.13333,0.23098,0.1129,1.7765,3.9503,1.31633,0.000820852,0.000820852,0.000820852
6,445.045,1.75507,2.69003,1.52532,0.19381,0.52965,0.40069,0.16553,1.76628,4.45521,1.67387,0.000981109,0.000981109,0.000981109
7,525.956,1.80929,2.68858,1.53532,0.90968,0.13333,0.27823,0.07853,1.91221,4.21778,1.78929,0.0011391,0.0011391,0.0011391
8,608.78,1.67449,2.32059,1.41252,0.83452,0.06667,0.17582,0.07692,1.90269,3.87312,1.72697,0.00129483,0.00129483,0.00129483
9,681.567,1.72543,2.50032,1.51504,0.00171,0.3855,0.05631,0.01748,2.14374,4.66226,2.05283,0.00135355,0.00135355,0.00135355
10,810.236,1.78365,2.3948,1.49278,0.09505,0.34437,0.09144,0.04126,3.26038,5.22063,3.78215,0.00134412,0.00134412,0.00134412
11,894.978,1.771,2.22316,1.49068,0.52526,0.20346,0.18981,0.08235,2.19718,4.1038,1.90877,0.00133469,0.00133469,0.00133469
12,978.831,1.78638,2.15705,1.47813,0.00123,0.25519,0.00626,0.00259,2.35453,4.56247,2.12025,0.00132525,0.00132525,0.00132525
13,1057.93,1.72949,2.24449,1.46103,0.53701,0.05,0.08219,0.01973,2.09291,3.83835,2.11357,0.00131582,0.00131582,0.00131582
14,1132.23,1.79322,2.18296,1.55662,0.74763,0.1,0.10596,0.04398,1.9581,3.48726,1.73758,0.00130639,0.00130639,0.00130639
15,1448.08,1.68132,1.95703,1.46342,0.38614,0.30887,0.32355,0.15911,1.62511,3.77651,1.39143,0.00129696,0.00129696,0.00129696
16,1522.27,1.75098,1.86132,1.52037,0.5415,0.51565,0.5037,0.22926,1.51425,3.02332,1.45754,0.00128753,0.00128753,0.00128753
17,1597.57,1.58519,1.71131,1.42116,0.66862,0.58423,0.61153,0.2904,2.27988,2.0721,2.32977,0.0012781,0.0012781,0.0012781
18,1672.66,1.65289,1.66894,1.4261,0.6519,0.65802,0.73241,0.32063,2.52194,1.91619,2.68385,0.00126867,0.00126867,0.00126867
19,1753.94,1.64895,1.66058,1.4444,0.76035,0.59329,0.72354,0.34319,2.35527,3.18589,2.21359,0.00125923,0.00125923,0.00125923
20,1831.12,1.65118,1.63331,1.44686,0.59184,0.76317,0.66362,0.33234,1.49483,1.72468,1.21893,0.0012498,0.0012498,0.0012498
21,1906,1.67084,1.57611,1.45547,0.76809,0.68778,0.75572,0.34284,1.53317,1.81992,1.24746,0.00124037,0.00124037,0.00124037
22,1985.68,1.63822,1.5464,1.39988,0.75088,0.55928,0.69168,0.33937,1.87772,3.18565,1.59895,0.00123094,0.00123094,0.00123094
23,2326.21,1.615,1.48971,1.4355,0.85556,0.45476,0.53567,0.26508,1.84885,2.333,1.58071,0.00122151,0.00122151,0.00122151
24,2407.3,1.6399,1.50742,1.41991,0.75432,0.67164,0.76237,0.35163,1.73005,1.71241,1.35747,0.00121208,0.00121208,0.00121208
25,2482.71,1.59929,1.40561,1.33169,0.86492,0.57196,0.70182,0.35987,2.15917,1.59568,2.25013,0.00120265,0.00120265,0.00120265
26,2629.37,1.57787,1.35794,1.38732,0.61387,0.78365,0.7087,0.32138,2.33019,1.56629,2.53984,0.00119322,0.00119322,0.00119322
27,2707.21,1.58917,1.40026,1.38784,0.58825,0.62196,0.72242,0.31082,2.24513,1.93687,2.20418,0.00118378,0.00118378,0.00118378
28,2785.54,1.58559,1.33951,1.38942,0.63508,0.84432,0.87401,0.39341,2.22077,1.9245,2.17968,0.00117435,0.00117435,0.00117435
29,2865.97,1.60312,1.36294,1.41801,0.77896,0.78071,0.84141,0.39841,2.53918,1.27373,2.83094,0.00116492,0.00116492,0.00116492
30,2938.35,1.57538,1.25554,1.36642,0.81186,0.69469,0.81384,0.35463,2.21528,1.54576,2.2151,0.00115549,0.00115549,0.00115549
