epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5038,1.4934,2.59122,1.34642,0.51485,0.39007,0.42615,0.22699,1.41426,2.02909,1.21538,0.000472118,0.000472118,0.000472118
2,54.704,1.27081,1.51014,1.21574,0.77353,0.68088,0.76427,0.43858,1.34867,1.16537,1.20684,0.000942192,0.000942192,0.000942192
3,77.8567,1.20649,1.21115,1.19351,0.69863,0.66394,0.73674,0.4075,1.40818,1.69596,1.31903,0.00140598,0.00140598,0.00140598
4,100.784,1.20577,1.07691,1.1912,0.83806,0.7841,0.84743,0.46847,1.20027,0.86921,1.14417,0.00140071,0.00140071,0.00140071
5,123.901,1.13178,0.97012,1.15153,0.82971,0.71523,0.83517,0.53024,1.08644,0.90724,1.10099,0.00139127,0.00139127,0.00139127
6,146.985,1.08327,0.89795,1.1348,0.89833,0.84754,0.91989,0.59791,1.06936,0.7224,1.09477,0.00138184,0.00138184,0.00138184
7,170.076,1.03992,0.85839,1.11112,0.90974,0.84487,0.92618,0.59537,1.0657,0.67751,1.06896,0.00137241,0.00137241,0.00137241
8,192.858,1.02774,0.84876,1.10383,0.88818,0.87649,0.93207,0.57838,1.16144,0.71879,1.12349,0.00136298,0.00136298,0.00136298
9,215.669,1.01371,0.81063,1.09793,0.897,0.83319,0.92548,0.67612,0.87078,0.65429,1.00059,0.00135355,0.00135355,0.00135355
10,238.527,0.98107,0.7756,1.08386,0.90405,0.84486,0.92303,0.62839,0.97814,0.6645,1.03994,0.00134412,0.00134412,0.00134412
11,261.174,0.96857,0.7722,1.07943,0.92291,0.82814,0.92686,0.63861,0.87598,0.62461,1.00508,0.00133469,0.00133469,0.00133469
12,284.241,0.95348,0.74044,1.07085,0.88759,0.81514,0.90478,0.65537,0.90254,0.64296,1.00188,0.00132525,0.00132525,0.00132525
13,307.321,0.92774,0.73031,1.06398,0.91211,0.84431,0.92442,0.649,0.95196,0.60059,1.0245,0.00131582,0.00131582,0.00131582
14,330.503,0.9324,0.7313,1.05789,0.86533,0.80617,0.88751,0.61441,1.00486,0.81541,1.0486,0.00130639,0.00130639,0.00130639
15,353.291,0.92377,0.72911,1.06075,0.92693,0.88881,0.94439,0.6582,0.87667,0.53979,0.99204,0.00129696,0.00129696,0.00129696
16,376.305,0.91037,0.70648,1.0583,0.84494,0.77563,0.86968,0.53175,1.21932,0.72241,1.16866,0.00128753,0.00128753,0.00128753
17,399.237,0.90661,0.69882,1.04554,0.89701,0.83808,0.9137,0.66898,0.80425,0.71694,0.97163,0.0012781,0.0012781,0.0012781
18,422.008,0.87414,0.68419,1.04274,0.88114,0.78724,0.88085,0.61888,0.95469,0.65445,1.04588,0.00126867,0.00126867,0.00126867
19,444.62,0.87364,0.67214,1.04039,0.8886,0.8775,0.93814,0.66139,0.92775,0.57431,1.00929,0.00125923,0.00125923,0.00125923
20,467.247,0.86594,0.66287,1.03845,0.90378,0.88495,0.94373,0.69834,0.82932,0.53427,0.9724,0.0012498,0.0012498,0.0012498
21,490.027,0.88333,0.67614,1.04713,0.90328,0.81989,0.91051,0.66003,0.92251,0.60206,1.01964,0.00124037,0.00124037,0.00124037
22,512.859,0.85818,0.65869,1.02919,0.9528,0.87313,0.95232,0.66813,1.00932,0.54174,1.03797,0.00123094,0.00123094,0.00123094
23,535.342,0.85825,0.63728,1.02483,0.92643,0.83335,0.93097,0.67277,0.81512,0.5494,0.97317,0.00122151,0.00122151,0.00122151
24,557.941,0.84396,0.63473,1.02469,0.89382,0.86591,0.92875,0.67852,0.81112,0.55833,0.97212,0.00121208,0.00121208,0.00121208
25,580.163,0.82454,0.62206,1.027,0.91497,0.89635,0.95356,0.73987,0.69517,0.49014,0.93513,0.00120265,0.00120265,0.00120265
26,602.564,0.83021,0.63189,1.01314,0.9502,0.86521,0.95209,0.74908,0.69789,0.49126,0.92355,0.00119322,0.00119322,0.00119322
27,625.107,0.81475,0.61859,1.01547,0.91209,0.86406,0.94381,0.71773,0.72358,0.50252,0.94173,0.00118378,0.00118378,0.00118378
