epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2749,1.61857,1.65079,1.53536,0.93388,0.85006,0.93031,0.68082,0.8675,0.511,1.01533,0.000474226,0.000474226,0.000474226
2,63.4859,1.0825,0.76399,1.11459,0.90751,0.84214,0.92738,0.68483,0.83416,0.52597,0.98737,0.000903506,0.000903506,0.000903506
3,92.5545,1.01999,0.73417,1.08604,0.94466,0.85929,0.93106,0.69041,0.83896,0.51002,0.99337,0.00128563,0.00128563,0.00128563
4,121.366,0.99412,0.73294,1.07795,0.91022,0.85054,0.93077,0.70067,0.82014,0.55065,0.98739,0.00121679,0.00121679,0.00121679
5,149.775,0.96902,0.71442,1.06541,0.93436,0.85572,0.94146,0.71369,0.77701,0.51383,0.96305,0.00114606,0.00114606,0.00114606
6,178.849,0.92311,0.66841,1.04193,0.93771,0.88276,0.94728,0.72141,0.76443,0.47868,0.95192,0.00107532,0.00107532,0.00107532
7,207.814,0.89127,0.64704,1.02702,0.8949,0.84115,0.91507,0.66612,0.85325,0.54308,1.00935,0.00100459,0.00100459,0.00100459
8,236.705,0.87707,0.63115,1.0281,0.92791,0.85826,0.94341,0.72227,0.74551,0.47545,0.95629,0.000933851,0.000933851,0.000933851
9,266.654,0.85419,0.60969,1.01327,0.93331,0.88586,0.95144,0.74925,0.71198,0.43645,0.94241,0.000863116,0.000863116,0.000863116
10,300.666,0.81857,0.58822,1.00221,0.92586,0.87085,0.93918,0.7135,0.75297,0.46097,0.95145,0.00079238,0.00079238,0.00079238
11,343.916,0.74109,0.48272,0.96461,0.92159,0.88561,0.94975,0.7495,0.70905,0.44104,0.94217,0.000721645,0.000721645,0.000721645
12,377.078,0.73594,0.47102,0.9574,0.94869,0.895,0.94921,0.75221,0.69639,0.44591,0.92642,0.000650909,0.000650909,0.000650909
13,410.695,0.69886,0.44257,0.93822,0.93699,0.91294,0.95813,0.75624,0.68818,0.40856,0.92882,0.000580174,0.000580174,0.000580174
14,444.895,0.692,0.44292,0.93839,0.95452,0.88988,0.95895,0.77239,0.64884,0.40014,0.90911,0.000509438,0.000509438,0.000509438
15,478.476,0.66281,0.41882,0.9254,0.96473,0.88061,0.95623,0.77524,0.63552,0.38533,0.90847,0.000438703,0.000438703,0.000438703
16,511.886,0.64292,0.4102,0.9173,0.95438,0.88277,0.95002,0.7703,0.63841,0.38866,0.90802,0.000367967,0.000367967,0.000367967
17,546.329,0.63269,0.39702,0.91179,0.95286,0.89988,0.95624,0.79066,0.60164,0.3702,0.90076,0.000297232,0.000297232,0.000297232
18,581.711,0.61913,0.39499,0.90728,0.97196,0.88699,0.95602,0.78495,0.59537,0.36605,0.8969,0.000226497,0.000226497,0.000226497
19,615.03,0.59784,0.37474,0.89905,0.96207,0.89258,0.95655,0.79192,0.59277,0.36482,0.89548,0.000155761,0.000155761,0.000155761
20,648.134,0.58871,0.37021,0.89581,0.9619,0.89607,0.96007,0.79897,0.58019,0.35471,0.88952,8.50255e-05,8.50255e-05,8.50255e-05
