epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7629,0.84022,0.71775,1.02063,0.94821,0.87158,0.94633,0.75947,0.66067,0.42062,0.91495,0.000474226,0.000474226,0.000474226
2,75.4699,0.80823,0.58895,0.98694,0.94604,0.87941,0.94769,0.73718,0.71157,0.43616,0.92749,0.000919191,0.000919191,0.000919191
3,110.687,0.83588,0.61475,1.00604,0.93594,0.85765,0.94199,0.70662,0.76963,0.46568,0.9581,0.00133272,0.00133272,0.00133272
4,145.199,0.83248,0.62599,1.01142,0.89361,0.8932,0.94954,0.72399,0.75238,0.47505,0.96681,0.00128753,0.00128753,0.00128753
5,179.41,0.84658,0.62464,1.0108,0.92787,0.87226,0.94615,0.71707,0.76276,0.47613,0.9554,0.00124037,0.00124037,0.00124037
6,214.409,0.82287,0.60308,0.99773,0.9275,0.88337,0.9504,0.72168,0.77328,0.46499,0.96571,0.00119322,0.00119322,0.00119322
7,248.761,0.81619,0.59381,0.99523,0.94792,0.86591,0.95441,0.74509,0.71091,0.44335,0.9327,0.00114606,0.00114606,0.00114606
8,283.135,0.80886,0.59129,0.99693,0.92563,0.89947,0.95485,0.75591,0.66986,0.42423,0.92638,0.0010989,0.0010989,0.0010989
9,317.73,0.79138,0.57424,0.98453,0.90726,0.88922,0.95191,0.74831,0.69839,0.43954,0.92158,0.00105174,0.00105174,0.00105174
10,352.195,0.77881,0.56328,0.98352,0.94929,0.89834,0.95308,0.75406,0.66871,0.43109,0.92077,0.00100459,0.00100459,0.00100459
11,386.257,0.77736,0.57608,0.98424,0.94547,0.89641,0.95668,0.76383,0.6666,0.4154,0.91778,0.00095743,0.00095743,0.00095743
12,414.821,0.75805,0.54893,0.97825,0.91042,0.87689,0.93424,0.72262,0.70124,0.45315,0.93628,0.000910273,0.000910273,0.000910273
13,444.19,0.75533,0.54928,0.97676,0.93317,0.90851,0.95819,0.7764,0.64289,0.40269,0.91507,0.000863116,0.000863116,0.000863116
14,472.918,0.74462,0.53326,0.97111,0.9617,0.87496,0.95703,0.76727,0.65508,0.40528,0.91395,0.000815959,0.000815959,0.000815959
15,501.772,0.73931,0.53668,0.96655,0.94211,0.88963,0.96044,0.76335,0.66677,0.41578,0.92234,0.000768802,0.000768802,0.000768802
16,530.571,0.7352,0.53568,0.9626,0.94222,0.89545,0.95832,0.7864,0.62414,0.39565,0.90352,0.000721645,0.000721645,0.000721645
17,558.951,0.71326,0.51403,0.96049,0.93385,0.8992,0.95218,0.77372,0.6252,0.39811,0.90455,0.000674488,0.000674488,0.000674488
18,587.71,0.70911,0.51027,0.95505,0.9402,0.90064,0.9591,0.78903,0.59611,0.38857,0.89166,0.000627331,0.000627331,0.000627331
19,616.521,0.7041,0.51488,0.95573,0.96117,0.89802,0.96117,0.7932,0.60616,0.38872,0.89738,0.000580174,0.000580174,0.000580174
20,645.092,0.7014,0.50045,0.95408,0.95644,0.89736,0.9552,0.79544,0.60372,0.37956,0.89272,0.000533017,0.000533017,0.000533017
21,682.541,0.61349,0.39082,0.90001,0.94999,0.90384,0.96126,0.79654,0.59189,0.37408,0.89146,0.00048586,0.00048586,0.00048586
22,710.528,0.59495,0.37376,0.89898,0.96341,0.90188,0.9611,0.79852,0.59809,0.37095,0.89442,0.000438703,0.000438703,0.000438703
23,739.808,0.58204,0.3655,0.8974,0.96508,0.88857,0.95787,0.79835,0.58838,0.37753,0.89043,0.000391546,0.000391546,0.000391546
24,773.075,0.57088,0.36097,0.89292,0.96631,0.89728,0.95934,0.80283,0.57562,0.37094,0.88517,0.000344389,0.000344389,0.000344389
25,806.692,0.56211,0.35599,0.88342,0.95342,0.89689,0.9575,0.80176,0.57491,0.36964,0.88157,0.000297232,0.000297232,0.000297232
26,840.108,0.55227,0.3464,0.88446,0.94692,0.915,0.96302,0.81358,0.5606,0.35292,0.88079,0.000250075,0.000250075,0.000250075
27,873.53,0.54281,0.34414,0.87628,0.96363,0.89576,0.96064,0.81308,0.55416,0.3541,0.87767,0.000202918,0.000202918,0.000202918
28,906.762,0.53575,0.33777,0.87603,0.96111,0.90226,0.96252,0.81681,0.55532,0.34927,0.87774,0.000155761,0.000155761,0.000155761
29,940.378,0.52692,0.33663,0.87467,0.96348,0.89863,0.95746,0.81739,0.54668,0.34456,0.87487,0.000108604,0.000108604,0.000108604
30,973.882,0.51933,0.32938,0.87176,0.96727,0.9007,0.95974,0.8197,0.54236,0.34146,0.87168,6.1447e-05,6.1447e-05,6.1447e-05
