epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2338,0.69325,0.51811,0.96938,0.94505,0.88866,0.9527,0.78421,0.63503,0.40299,0.91006,0.000474226,0.000474226,0.000474226
2,74.1828,0.69632,0.4978,0.95003,0.9325,0.90355,0.95732,0.77397,0.66188,0.41957,0.92043,0.000919191,0.000919191,0.000919191
3,107.767,0.7198,0.52896,0.96274,0.95162,0.88317,0.94942,0.76033,0.69465,0.44352,0.92867,0.00133272,0.00133272,0.00133272
4,141.135,0.747,0.53719,0.97258,0.91788,0.89308,0.94788,0.74125,0.69415,0.42935,0.94123,0.00128753,0.00128753,0.00128753
5,174.546,0.73886,0.53849,0.97191,0.9592,0.86912,0.95494,0.76361,0.67799,0.44004,0.93575,0.00124037,0.00124037,0.00124037
6,208.425,0.74507,0.53293,0.96692,0.91872,0.89664,0.95006,0.75689,0.67501,0.43276,0.92351,0.00119322,0.00119322,0.00119322
7,243.848,0.72081,0.51987,0.96057,0.95415,0.89116,0.95559,0.77218,0.65384,0.41714,0.91722,0.00114606,0.00114606,0.00114606
8,279.995,0.72829,0.52694,0.96558,0.9213,0.91561,0.95826,0.77558,0.62813,0.41248,0.91624,0.0010989,0.0010989,0.0010989
9,316.275,0.71524,0.52135,0.95963,0.93357,0.8985,0.95222,0.7641,0.66496,0.40488,0.91643,0.00105174,0.00105174,0.00105174
10,353.017,0.69873,0.49738,0.95246,0.93437,0.87776,0.95039,0.73898,0.67311,0.42344,0.93362,0.00100459,0.00100459,0.00100459
11,389.29,0.70311,0.51272,0.95673,0.94855,0.88612,0.95656,0.77319,0.64505,0.39684,0.91708,0.00095743,0.00095743,0.00095743
12,425.141,0.68515,0.49546,0.95133,0.94097,0.87183,0.94931,0.76333,0.64052,0.40848,0.91185,0.000910273,0.000910273,0.000910273
13,460.806,0.67653,0.49326,0.94712,0.91155,0.90508,0.951,0.77528,0.62276,0.40536,0.90688,0.000863116,0.000863116,0.000863116
14,496.547,0.67746,0.48021,0.94805,0.95236,0.88787,0.95627,0.7649,0.64975,0.39345,0.91906,0.000815959,0.000815959,0.000815959
15,532.142,0.67327,0.48329,0.94294,0.93235,0.91258,0.95841,0.78206,0.62003,0.39817,0.91482,0.000768802,0.000768802,0.000768802
16,567.965,0.67132,0.48632,0.94351,0.95319,0.89712,0.95779,0.79461,0.58748,0.37853,0.8965,0.000721645,0.000721645,0.000721645
17,603.983,0.65716,0.46723,0.94172,0.95749,0.89366,0.95794,0.77452,0.63319,0.39212,0.90905,0.000674488,0.000674488,0.000674488
18,640.18,0.65104,0.46221,0.93402,0.94539,0.90339,0.96256,0.7997,0.58787,0.37489,0.89253,0.000627331,0.000627331,0.000627331
19,676.398,0.65014,0.4691,0.93664,0.94707,0.91056,0.96205,0.79407,0.59202,0.37774,0.89905,0.000580174,0.000580174,0.000580174
20,712.343,0.64383,0.45662,0.9359,0.92936,0.91691,0.96079,0.80019,0.5879,0.37391,0.89415,0.000533017,0.000533017,0.000533017
21,761.889,0.5586,0.35672,0.88361,0.94125,0.91062,0.96,0.79938,0.59108,0.36684,0.893,0.00048586,0.00048586,0.00048586
22,797.485,0.54065,0.33843,0.8804,0.95473,0.90348,0.96361,0.80968,0.56596,0.35579,0.88866,0.000438703,0.000438703,0.000438703
23,833.902,0.53436,0.34038,0.88051,0.93777,0.91302,0.96182,0.80328,0.57769,0.36619,0.89313,0.000391546,0.000391546,0.000391546
24,870.13,0.52171,0.33272,0.87646,0.95454,0.90202,0.9607,0.808,0.57344,0.35678,0.89137,0.000344389,0.000344389,0.000344389
25,905.716,0.519,0.32736,0.87089,0.94406,0.91409,0.9613,0.80448,0.56973,0.35565,0.89035,0.000297232,0.000297232,0.000297232
26,941.867,0.5036,0.31919,0.87089,0.94118,0.91115,0.96528,0.81552,0.5513,0.343,0.88487,0.000250075,0.000250075,0.000250075
27,976.346,0.49874,0.31417,0.86307,0.93453,0.91871,0.96036,0.81052,0.55266,0.34526,0.88804,0.000202918,0.000202918,0.000202918
28,1009.87,0.49669,0.30997,0.86582,0.94714,0.90854,0.96298,0.81553,0.54925,0.3397,0.88533,0.000155761,0.000155761,0.000155761
29,1042.69,0.49172,0.3113,0.86701,0.96119,0.89724,0.9622,0.81765,0.54277,0.33579,0.88167,0.000108604,0.000108604,0.000108604
30,1077.69,0.48632,0.30483,0.86445,0.96442,0.89473,0.96328,0.81995,0.5414,0.33319,0.8822,6.1447e-05,6.1447e-05,6.1447e-05
