epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1355,0.95162,0.56579,1.10275,0.96127,0.88478,0.95545,0.72544,0.76451,0.40797,0.95889,0.000474226,0.000474226,0.000474226
2,69.0849,0.84588,0.5611,1.03121,0.94836,0.89235,0.94638,0.7347,0.7089,0.44445,0.93292,0.000931738,0.000931738,0.000931738
3,104.345,0.8577,0.58011,1.03727,0.94078,0.89379,0.95619,0.6775,0.98031,0.48558,1.04131,0.00137039,0.00137039,0.00137039
4,139.954,0.85351,0.59263,1.03979,0.93873,0.86885,0.94488,0.69627,0.83417,0.48001,1.00033,0.00134412,0.00134412,0.00134412
5,175.522,0.83815,0.58029,1.03225,0.93941,0.8774,0.94593,0.70363,0.79864,0.45178,0.97493,0.00131582,0.00131582,0.00131582
6,210.428,0.82721,0.5727,1.02116,0.96401,0.8645,0.94448,0.72306,0.73647,0.45984,0.94665,0.00128753,0.00128753,0.00128753
7,245.853,0.81272,0.57789,1.01561,0.94822,0.86837,0.94929,0.72031,0.74984,0.44737,0.9516,0.00125923,0.00125923,0.00125923
8,281.623,0.81683,0.57697,1.02509,0.89805,0.8957,0.94621,0.73258,0.71009,0.443,0.93692,0.00123094,0.00123094,0.00123094
9,316.934,0.81655,0.57805,1.01688,0.95019,0.86533,0.95674,0.73206,0.7537,0.44279,0.95735,0.00120265,0.00120265,0.00120265
10,349.466,0.79683,0.55286,1.00552,0.92985,0.87655,0.9507,0.73978,0.70035,0.42955,0.93198,0.00117435,0.00117435,0.00117435
11,381.714,0.81672,0.5793,1.01949,0.94108,0.89215,0.95134,0.71794,0.80398,0.45991,0.95529,0.00114606,0.00114606,0.00114606
12,414.292,0.78442,0.55485,1.00926,0.94071,0.86996,0.94407,0.72558,0.76889,0.46166,0.95978,0.00111776,0.00111776,0.00111776
13,444.636,0.79203,0.5564,1.01378,0.93565,0.87584,0.94227,0.74903,0.68415,0.4351,0.92537,0.00108947,0.00108947,0.00108947
14,476.08,0.77409,0.54357,1.00175,0.93194,0.88478,0.94721,0.72006,0.83349,0.47359,0.97923,0.00106118,0.00106118,0.00106118
15,506.915,0.77988,0.54042,0.99932,0.95273,0.89364,0.95563,0.76044,0.67862,0.42228,0.9248,0.00103288,0.00103288,0.00103288
16,538.082,0.77746,0.54896,1.00084,0.94562,0.88109,0.94438,0.74568,0.69025,0.42463,0.93618,0.00100459,0.00100459,0.00100459
17,569.232,0.75812,0.54141,0.99806,0.90834,0.91009,0.95346,0.72684,0.78424,0.44723,0.96139,0.000976293,0.000976293,0.000976293
18,603.967,0.74689,0.53044,0.99054,0.92454,0.89251,0.94796,0.76569,0.64041,0.41456,0.90774,0.000947999,0.000947999,0.000947999
19,639.162,0.75207,0.53206,0.9951,0.94809,0.89926,0.95885,0.76948,0.67189,0.40955,0.92726,0.000919704,0.000919704,0.000919704
