epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.923,0.32046,5.08027,1.07616,0.00242,0.61248,0.00598,0.00567,0.29345,3.99118,0.69751,0.00332781,0.00332781,0.00332781
2,204.634,0.2209,4.3899,0.96859,0.00319,0.86967,0.0075,0.0071,0.35383,3.66505,0.76851,0.00661718,0.00661718,0.00661718
3,302.569,0.25759,4.16018,0.97604,0.00272,0.74149,0.00971,0.00824,0.46302,3.72659,0.88832,0.00986255,0.00986255,0.00986255
4,405.765,0.25353,4.07641,0.96844,0.0027,0.66865,0.00863,0.00819,0.29198,3.69665,0.6956,0.009802,0.009802,0.009802
5,503.593,0.213,3.94627,0.94606,0.00275,0.66708,0.00824,0.0078,0.21208,3.70975,0.53943,0.009736,0.009736,0.009736
6,601.798,0.17544,3.81849,0.92855,0.00374,0.60345,0.00951,0.00949,0.14847,3.76823,0.49582,0.00967,0.00967,0.00967
7,698.815,0.16078,3.71048,0.92347,0.00348,0.93308,0.01616,0.01587,0.16874,3.37597,0.49691,0.009604,0.009604,0.009604
8,793.047,0.14448,3.594,0.91516,0.00423,0.96865,0.01819,0.01817,0.13808,3.28094,0.46055,0.009538,0.009538,0.009538
9,893.093,0.13426,3.49068,0.91068,0.00497,0.95996,0.02165,0.02163,0.14813,3.28855,0.48233,0.009472,0.009472,0.009472
10,992.268,0.12714,3.446,0.9083,0.00598,0.97019,0.02752,0.02745,0.1559,3.20608,0.49358,0.009406,0.009406,0.009406
11,1086.88,0.11968,3.38315,0.90687,0.00384,0.3738,0.01227,0.0122,0.1867,4.0737,0.50019,0.00934,0.00934,0.00934
12,1184.9,0.11145,3.29653,0.90163,0.00733,0.98123,0.04786,0.04689,0.15654,3.00412,0.48341,0.009274,0.009274,0.009274
13,1280.4,0.11166,3.25957,0.90543,0.25917,0.55409,0.06436,0.06432,0.14097,2.85292,0.45138,0.009208,0.009208,0.009208
14,1368.08,0.10438,3.22175,0.90111,0.42732,0.35902,0.06931,0.06918,0.09145,2.93527,0.41453,0.009142,0.009142,0.009142
15,1455.54,0.10044,3.1822,0.89961,0.74984,0.13135,0.09006,0.08996,0.09854,2.66216,0.41234,0.009076,0.009076,0.009076
16,1551.75,0.09738,3.14579,0.90205,0.66806,0.17927,0.11822,0.11809,0.12179,2.60504,0.4503,0.00901,0.00901,0.00901
17,1646.28,0.09547,3.10609,0.89974,0.579,0.26247,0.15265,0.15174,0.14054,2.53787,0.45955,0.008944,0.008944,0.008944
18,1734.06,0.08904,3.04892,0.89539,0.51078,0.31038,0.17412,0.1735,0.12582,2.4161,0.4445,0.008878,0.008878,0.008878
19,1821.16,0.08566,2.9988,0.89645,0.4302,0.34173,0.21347,0.21326,0.08693,2.2971,0.40332,0.008812,0.008812,0.008812
20,1915.41,0.08536,2.94503,0.8952,0.44789,0.39568,0.26235,0.26123,0.10242,2.15601,0.41766,0.008746,0.008746,0.008746
21,2009.55,0.08369,2.89121,0.89524,0.41288,0.46713,0.33377,0.33345,0.10984,2.02838,0.41657,0.00868,0.00868,0.00868
22,2112.09,0.0825,2.84532,0.89226,0.39048,0.52196,0.39708,0.39651,0.10853,1.88972,0.4178,0.008614,0.008614,0.008614
23,2214.6,0.08204,2.78909,0.89581,0.43942,0.56905,0.45528,0.45433,0.10195,1.75524,0.40929,0.008548,0.008548,0.008548
24,2317.48,0.07813,2.74639,0.89559,0.39657,0.62128,0.50319,0.50298,0.08855,1.66932,0.4034,0.008482,0.008482,0.008482
25,2418.1,0.0777,2.69657,0.89446,0.45981,0.61179,0.55201,0.55117,0.09063,1.58108,0.3986,0.008416,0.008416,0.008416
26,2520.7,0.07607,2.64165,0.89173,0.46278,0.64488,0.60442,0.60291,0.08572,1.45102,0.40002,0.00835,0.00835,0.00835
27,2609.27,0.07583,2.59692,0.89353,0.53447,0.61571,0.63578,0.63404,0.09004,1.38109,0.40533,0.008284,0.008284,0.008284
28,2696.56,0.07516,2.56299,0.89488,0.51474,0.65612,0.67422,0.67379,0.07964,1.28464,0.39187,0.008218,0.008218,0.008218
29,2783.48,0.07483,2.51508,0.89367,0.6289,0.65656,0.72009,0.71975,0.08702,1.19817,0.39261,0.008152,0.008152,0.008152
30,2870.55,0.07217,2.4702,0.89265,0.61501,0.70703,0.75705,0.75672,0.07656,1.07504,0.38816,0.008086,0.008086,0.008086
31,2972.37,0.07193,2.4365,0.8915,0.62126,0.73403,0.7802,0.77974,0.07729,1.02976,0.38761,0.00802,0.00802,0.00802
32,3074.05,0.07276,2.4279,0.8924,0.6268,0.74854,0.78706,0.78645,0.10495,1.00383,0.42656,0.007954,0.007954,0.007954
33,3175.4,0.07166,2.37949,0.89389,0.64091,0.76949,0.80539,0.80427,0.09648,0.92424,0.41267,0.007888,0.007888,0.007888
