epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3802,1.64425,2.32933,1.55787,0.43492,0.46277,0.44953,0.26245,1.38182,1.61187,1.35805,0.0701327,0.00331858,0.00331858
2,88.5642,1.34842,1.158,1.28636,0.81326,0.42977,0.5901,0.31978,1.50701,1.4605,1.31143,0.0400888,0.00660801,0.00660801
3,129.959,1.33572,1.15577,1.27956,0.67144,0.04811,0.05046,0.02197,2.93348,4.38849,2.8343,0.0100009,0.00985345,0.00985345
4,171.137,1.35769,1.15911,1.29857,0.84147,0.78106,0.84523,0.44341,1.51923,1.05259,1.34819,0.009802,0.009802,0.009802
5,212.566,1.30569,1.06138,1.26552,0.46473,0.34043,0.32304,0.15957,1.82605,2.28847,1.62648,0.009736,0.009736,0.009736
6,252.668,1.27697,1.01264,1.24572,0.86951,0.8043,0.87215,0.50433,1.23967,0.78541,1.22218,0.00967,0.00967,0.00967
7,292.155,1.22745,0.96922,1.21405,0.84971,0.7814,0.85216,0.51033,1.2584,0.77251,1.19561,0.009604,0.009604,0.009604
8,331.754,1.20857,0.95122,1.22295,0.88818,0.80803,0.90214,0.57292,1.08578,0.75917,1.14673,0.009538,0.009538,0.009538
9,371.867,1.17625,0.92891,1.20466,0.89515,0.77032,0.89267,0.5894,1.07994,0.73405,1.11864,0.009472,0.009472,0.009472
10,412.284,1.12831,0.87998,1.17648,0.8202,0.68952,0.78432,0.46883,1.34632,0.95477,1.27109,0.009406,0.009406,0.009406
11,450.606,1.1374,0.89572,1.17891,0.9337,0.82889,0.91868,0.6165,1.06842,0.64974,1.09547,0.00934,0.00934,0.00934
12,491.209,1.10152,0.84737,1.16068,0.87905,0.85625,0.92468,0.62667,1.03331,0.657,1.08878,0.009274,0.009274,0.009274
13,531.433,1.09235,0.83692,1.16167,0.64611,0.53067,0.56849,0.3407,1.51494,1.76953,1.38419,0.009208,0.009208,0.009208
14,569.389,1.0686,0.82292,1.15265,0.89462,0.85987,0.92534,0.61557,1.11238,0.63158,1.11672,0.009142,0.009142,0.009142
15,605.936,1.06462,0.80603,1.13803,0.89817,0.82563,0.90295,0.62194,0.9602,0.62748,1.06216,0.009076,0.009076,0.009076
16,646.376,1.05196,0.80054,1.1346,0.73642,0.56025,0.6431,0.38992,1.22759,1.14437,1.20974,0.00901,0.00901,0.00901
17,686.485,1.02135,0.77738,1.12205,0.92456,0.82392,0.92542,0.63409,0.93651,0.61344,1.03947,0.008944,0.008944,0.008944
18,727.399,1.00548,0.76652,1.11688,0.91723,0.87076,0.93684,0.67195,0.95947,0.59643,1.04612,0.008878,0.008878,0.008878
19,768.284,1.00653,0.76484,1.12191,0.89006,0.86851,0.93136,0.64392,1.01207,0.60445,1.07995,0.008812,0.008812,0.008812
20,808.615,1.00701,0.75489,1.11284,0.90097,0.84333,0.9078,0.64548,0.93355,0.63572,1.05103,0.008746,0.008746,0.008746
21,849.217,0.98721,0.74573,1.10244,0.91535,0.86568,0.93597,0.67516,0.91495,0.57108,1.0217,0.00868,0.00868,0.00868
22,890.104,0.98524,0.75415,1.11355,0.93607,0.86417,0.93576,0.67125,0.86941,0.55187,1.01269,0.008614,0.008614,0.008614
23,929.459,0.96808,0.73067,1.10794,0.90858,0.80673,0.89996,0.632,0.95115,0.64766,1.06497,0.008548,0.008548,0.008548
24,970.323,0.95702,0.717,1.09793,0.90895,0.86296,0.92955,0.65768,0.94574,0.56792,1.04796,0.008482,0.008482,0.008482
25,1010.69,0.96124,0.72056,1.09619,0.84666,0.75414,0.84476,0.57015,1.12551,0.78485,1.14786,0.008416,0.008416,0.008416
26,1051.53,0.94515,0.7144,1.09024,0.92925,0.81782,0.9058,0.65144,0.95114,0.62032,1.07896,0.00835,0.00835,0.00835
27,1091.68,0.94484,0.70758,1.08314,0.90502,0.85969,0.9234,0.64988,1.00746,0.58975,1.0667,0.008284,0.008284,0.008284
28,1132.71,0.93048,0.69737,1.07999,0.92413,0.86249,0.92876,0.67992,0.8155,0.52426,0.98896,0.008218,0.008218,0.008218
29,1173.1,0.92385,0.69245,1.07586,0.93266,0.68955,0.7981,0.5563,1.02907,0.78418,1.10372,0.008152,0.008152,0.008152
30,1213.63,0.92993,0.69449,1.08468,0.93517,0.83366,0.93299,0.6545,0.98272,0.57009,1.07526,0.008086,0.008086,0.008086
31,1254.59,0.91209,0.68018,1.07384,0.92986,0.82736,0.9215,0.67519,0.81799,0.55142,0.99478,0.00802,0.00802,0.00802
32,1295.35,0.89583,0.67191,1.064,0.90914,0.85253,0.93231,0.68114,0.86661,0.54718,1.00101,0.007954,0.007954,0.007954
33,1335.58,0.89561,0.65977,1.06477,0.91673,0.87951,0.94373,0.70296,0.82322,0.49648,0.98007,0.007888,0.007888,0.007888
34,1376.43,0.89661,0.65964,1.06047,0.93733,0.86925,0.94753,0.70995,0.77906,0.49571,0.97951,0.007822,0.007822,0.007822
35,1417.1,0.89463,0.65705,1.0647,0.90844,0.87362,0.94237,0.7126,0.7823,0.52246,0.97255,0.007756,0.007756,0.007756
36,1457.88,0.87554,0.64581,1.05168,0.9408,0.83045,0.93474,0.69113,0.86271,0.55033,1.01297,0.00769,0.00769,0.00769
37,1498.24,0.87088,0.65233,1.0491,0.91672,0.8244,0.92632,0.66222,0.8487,0.53581,0.98964,0.007624,0.007624,0.007624
38,1538.68,0.86687,0.629,1.04873,0.89847,0.87549,0.93224,0.6939,0.81424,0.49958,0.99152,0.007558,0.007558,0.007558
39,1578.98,0.85505,0.62578,1.04216,0.92783,0.86092,0.94365,0.71892,0.75435,0.49348,0.95918,0.007492,0.007492,0.007492
40,1619.8,0.85316,0.62912,1.04105,0.91659,0.86797,0.942,0.71569,0.78559,0.50141,0.97948,0.007426,0.007426,0.007426
41,1660.69,0.8595,0.62975,1.03884,0.93073,0.86497,0.95042,0.74122,0.71098,0.46463,0.94625,0.00736,0.00736,0.00736
42,1701.56,0.85054,0.62218,1.04058,0.93462,0.86928,0.94132,0.7264,0.75703,0.46923,0.94966,0.007294,0.007294,0.007294
43,1742.87,0.85051,0.62204,1.03756,0.93025,0.86632,0.94848,0.7348,0.715,0.47508,0.9451,0.007228,0.007228,0.007228
44,1783.09,0.832,0.61163,1.02965,0.9384,0.87362,0.95263,0.73885,0.76282,0.47367,0.95926,0.007162,0.007162,0.007162
45,1823.8,0.83051,0.6109,1.03188,0.92287,0.86618,0.94828,0.73261,0.73708,0.44841,0.95326,0.007096,0.007096,0.007096
46,1864.29,0.82531,0.60199,1.02828,0.91791,0.86407,0.93839,0.70382,0.79483,0.48025,0.97298,0.00703,0.00703,0.00703
47,1904.54,0.82771,0.60991,1.03121,0.88053,0.82952,0.90238,0.67521,0.84064,0.58655,0.98637,0.006964,0.006964,0.006964
48,1945.04,0.81917,0.59565,1.02461,0.92961,0.88557,0.95529,0.74408,0.69519,0.44577,0.94079,0.006898,0.006898,0.006898
49,1986.05,0.8101,0.59562,1.0235,0.90438,0.84253,0.92998,0.71362,0.7686,0.52424,0.9629,0.006832,0.006832,0.006832
50,2026.59,0.81181,0.59561,1.01917,0.95671,0.8746,0.94962,0.7466,0.71083,0.4395,0.93871,0.006766,0.006766,0.006766
51,2066.9,0.82087,0.59156,1.02487,0.95007,0.87822,0.95271,0.7272,0.79936,0.45931,0.96691,0.0067,0.0067,0.0067
52,2107.6,0.80481,0.57615,1.01918,0.91372,0.88183,0.94382,0.73635,0.71303,0.46308,0.95248,0.006634,0.006634,0.006634
53,2148.35,0.79984,0.58122,1.01985,0.9104,0.8854,0.93853,0.72514,0.74185,0.45484,0.95478,0.006568,0.006568,0.006568
54,2188.96,0.79311,0.58277,1.0155,0.92169,0.89233,0.95344,0.74417,0.6979,0.4385,0.93201,0.006502,0.006502,0.006502
55,2229.36,0.79145,0.58156,1.01446,0.907,0.85171,0.93077,0.72277,0.73053,0.47586,0.96462,0.006436,0.006436,0.006436
56,2268.82,0.78988,0.58669,1.01388,0.91984,0.89169,0.94846,0.75751,0.66075,0.42834,0.92642,0.00637,0.00637,0.00637
57,2309.75,0.7799,0.56555,1.00528,0.91094,0.87616,0.94687,0.75022,0.6768,0.44699,0.92745,0.006304,0.006304,0.006304
58,2350.23,0.77559,0.56286,1.00318,0.92891,0.87738,0.94922,0.744,0.72206,0.44402,0.94242,0.006238,0.006238,0.006238
59,2390.19,0.77513,0.56419,1.0052,0.94596,0.87309,0.95564,0.76615,0.66228,0.42341,0.92194,0.006172,0.006172,0.006172
60,2430.64,0.77926,0.54863,1.00542,0.90164,0.90932,0.9535,0.75605,0.69155,0.42145,0.94344,0.006106,0.006106,0.006106
61,2470.21,0.77233,0.55259,1.00384,0.93619,0.90816,0.95701,0.75782,0.69247,0.41674,0.93616,0.00604,0.00604,0.00604
62,2509.56,0.77239,0.55046,1.0044,0.9449,0.79339,0.90696,0.68324,0.79794,0.53751,0.96776,0.005974,0.005974,0.005974
63,2549.18,0.77505,0.55162,1.00335,0.95315,0.87574,0.9485,0.75007,0.67479,0.42504,0.92271,0.005908,0.005908,0.005908
64,2588.68,0.76766,0.54728,1.00263,0.9457,0.88679,0.95483,0.75578,0.697,0.4292,0.93597,0.005842,0.005842,0.005842
65,2627.98,0.76363,0.5484,1.00244,0.95365,0.89012,0.95196,0.74918,0.68692,0.41782,0.92489,0.005776,0.005776,0.005776
66,2667.61,0.76997,0.55081,1.00329,0.92366,0.89929,0.95035,0.75647,0.66173,0.41401,0.91958,0.00571,0.00571,0.00571
67,2707.13,0.74412,0.53348,0.98988,0.94648,0.88337,0.95321,0.76255,0.65027,0.4046,0.91966,0.005644,0.005644,0.005644
68,2747.18,0.75994,0.54423,0.99925,0.93281,0.90356,0.95269,0.76,0.67083,0.41103,0.92106,0.005578,0.005578,0.005578
69,2786.98,0.73585,0.52939,0.9876,0.9637,0.86185,0.94453,0.74324,0.71471,0.42346,0.93851,0.005512,0.005512,0.005512
70,2826.6,0.75023,0.53013,0.99014,0.95666,0.8808,0.96067,0.77262,0.64856,0.41297,0.91122,0.005446,0.005446,0.005446
71,2866.48,0.74196,0.52543,0.9868,0.9468,0.89285,0.95313,0.77546,0.63039,0.40944,0.90628,0.00538,0.00538,0.00538
72,2905.92,0.73518,0.52712,0.98577,0.9265,0.86765,0.9376,0.74647,0.66762,0.4293,0.91773,0.005314,0.005314,0.005314
