layer,good_mean,bad_mean,mean_difference,percentage_diff,good_std,bad_std,std_difference,good_sparsity,bad_sparsity,sparsity_difference,total_score
Layer_1_Conv,1.4412605331132287,1.5125138349220402,0.07125330180881151,4.9438182876554,4.095580854586193,4.265385487040535,0.1698046324543423,0.0004230576660454929,0.00045435302313079703,3.129535708530412e-05,0.24137088783400684
Layer_0_Conv,1.5306370167579866,1.550295714472161,0.01965869771417439,1.2843474644179915,2.1901846684907613,2.23581570093749,0.045631032446728614,0.0,0.0,0.0,0.065289730160903
Layer_7_Conv,-0.019425928697800326,-0.012847442495766416,0.00657848620203391,33.864461794193744,0.46207779906410024,0.47552386805659436,0.01344606899249412,0.0,0.0,0.0,0.020024555194528032
Layer_19_Conv,-0.03836950254311463,-0.03975035412023302,0.0013808515771183902,-3.598825852815709,0.4015295845001264,0.3843492220659725,0.017180362434153884,0.0,0.0,0.0,0.018561214011272274
Layer_21_C2f,-0.08265352611871142,-0.08658945658167855,0.003935930462967127,-4.761963158491427,0.38293423038676266,0.3695205396316091,0.013413690755153584,0.0,0.0,0.0,0.01734962121812071
Layer_5_Conv,0.12301349418615937,0.12847988283047912,0.005466388644319753,4.443730893496393,0.5575647376813835,0.5692035668208951,0.011638829139511642,0.0,0.0,0.0,0.017105217783831395
Layer_2_C2f,0.6991304432539115,0.7043781817936506,0.005247738539739144,0.7506093591512022,0.9562922045028299,0.9668575681623865,0.010565363659556626,0.0,0.0,0.0,0.01581310219929577
Layer_3_Conv,0.3986561064209257,0.4017039957593699,0.0030478893384441874,0.7645409889259386,0.8420832301104876,0.8517747521400452,0.009691522029557587,0.0,0.0,0.0,0.012739411368001774
Layer_12_C2f,0.09179234523256134,0.08849169014662993,0.0033006550859314143,-3.5957846785252183,0.47079996056014434,0.46548769366545756,0.005312266894686779,0.0,0.0,0.0,0.008612921980618193
Layer_13_Upsample,0.09179234481591703,0.08849169234516191,0.0033006524707551166,-3.5957818458329385,0.4707999614844645,0.4654877029481481,0.005312258536316394,0.0,0.0,0.0,0.008612911007071511
Layer_4_C2f,0.17025884941108244,0.17161818874663995,0.0013593393355575134,0.7983957017561237,0.4902143252915458,0.4973912268388467,0.007176901547300885,0.0,0.0,0.0,0.008536240882858398
Layer_17_Concat,0.08787284063917578,0.08523631218026896,0.0026365284589068144,-3.000390609577481,0.5105966527883271,0.5057087281688315,0.004887924619495609,0.0,0.0,0.0,0.007524453078402424
Layer_10_Upsample,-0.10995007157885939,-0.10676465794199803,0.0031854136368613534,2.8971455780969477,0.2645264131794299,0.2687798753136494,0.00425346213421951,0.0,0.0,0.0,0.007438875771080863
Layer_9_SPPF,-0.1099500713337745,-0.10676465720915404,0.0031854141246204642,2.8971460281735784,0.26452641270326493,0.2687798718937108,0.004253459190445841,0.0,0.0,0.0,0.007438873315066305
Layer_11_Concat,-0.07269793532130525,-0.06986308439833219,0.002834850922973059,3.8994930329778734,0.32617733846033425,0.3303703362824487,0.004192997822114464,0.0,0.0,0.0,0.007027848745087523
Layer_6_C2f,0.0018063377475339834,0.0039400652995623875,0.002133727552028404,118.1245066124192,0.41287164686989963,0.4175350426650438,0.004663395795144187,0.0,0.0,0.0,0.006797123347172591
Layer_20_Concat,-0.0860898817322196,-0.08442655767573685,0.0016633240564827428,1.9320784545348433,0.31902192933554935,0.31415448911854477,0.004867440217004582,0.0,0.0,0.0,0.0065307642734873245
Layer_16_Conv,0.08003383158895194,0.07872555233904573,0.0013082792499062162,-1.634657774009178,0.5811899573002991,0.5768062550513471,0.004383702248952015,0.0,0.0,0.0,0.005691981498858231
Layer_8_C2f,0.06460751393543822,0.06354893334820623,0.0010585805872319887,-1.6384790603300725,0.6301034629288921,0.6346089478398933,0.004505484911001223,0.0,0.0,0.0,0.005564065498233212
Layer_18_C2f,0.008424201729848617,0.007689641733018331,0.0007345599968302859,-8.719639206022265,0.40489271913368,0.4006981468591534,0.004194572274526631,0.0,0.0,0.0,0.004929132271356917
Layer_15_C2f,0.294979285504809,0.2930418585167556,0.0019374269880533812,-0.6568010308716392,0.5608611704039395,0.5578745838071479,0.0029865865967915184,0.0,0.0,0.0,0.0049240135848449
Layer_14_Concat,0.11794784596483958,0.11620052268759148,0.0017473232772480946,-1.4814372089245056,0.4791612117026085,0.4783153030716005,0.0008459086310080299,0.0,0.0,0.0,0.0025932319082561245
