epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6043,2.11374,4.40852,1.85049,0.00271,0.3125,0.22856,0.09878,2.40412,4.78754,2.15006,4.287e-05,4.287e-05,4.287e-05
2,44.5044,1.87822,4.12417,1.62821,0.00499,0.4375,0.30469,0.18532,2.0595,4.6157,1.8451,9.93698e-05,9.93698e-05,9.93698e-05
3,67.2397,1.89053,3.85852,1.47958,0.00445,0.4375,0.26386,0.15997,1.82195,4.5515,1.5592,0.000155115,0.000155115,0.000155115
4,90.5112,1.77577,3.13033,1.39577,0.00615,0.375,0.19006,0.1096,1.87806,4.53532,1.58792,0.000210106,0.000210106,0.000210106
5,112.664,1.79949,2.87426,1.4767,0.00616,0.35096,0.19256,0.09783,2.00638,4.51527,1.63249,0.000264342,0.000264342,0.000264342
6,133.214,1.66632,2.36404,1.39305,0.0069,0.35096,0.1324,0.07558,2.19035,4.58946,1.77505,0.000317824,0.000317824,0.000317824
7,153.859,1.65729,2.24536,1.39539,0.00784,0.41346,0.19454,0.09823,2.10896,4.51887,1.65892,0.000370551,0.000370551,0.000370551
8,175.254,1.60612,2.26886,1.34499,0.00805,0.47596,0.23889,0.11741,1.9905,4.3489,1.59268,0.000422524,0.000422524,0.000422524
9,828.204,1.6226,2.12993,1.3334,0.01013,0.53846,0.29335,0.15953,1.78635,4.30537,1.40448,0.000473742,0.000473742,0.000473742
10,849.917,1.59053,2.45688,1.31981,0.00929,0.57692,0.38427,0.25001,1.60649,4.03813,1.28515,0.000524206,0.000524206,0.000524206
11,870.977,1.6432,2.05028,1.36988,0.0065,0.57692,0.41872,0.22409,1.7769,3.97826,1.29432,0.000573915,0.000573915,0.000573915
12,890.648,1.57252,1.95578,1.3389,0.00507,0.57692,0.42736,0.22143,1.9376,4.09602,1.45322,0.00062287,0.00062287,0.00062287
