epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7922,1.63198,1.6291,1.55311,0.93183,0.85879,0.91658,0.62083,0.93111,0.55378,1.03263,0.000472118,0.000472118,0.000472118
2,51.1934,1.07309,0.74677,1.11644,0.89188,0.83809,0.89835,0.63607,0.90553,0.61055,1.01653,0.000901503,0.000901503,0.000901503
3,73.8308,0.99596,0.72354,1.07583,0.90603,0.86353,0.91802,0.66539,0.87548,0.55004,0.99286,0.00128373,0.00128373,0.00128373
4,96.187,0.97543,0.70341,1.05989,0.84942,0.81726,0.88235,0.61473,0.94045,0.60925,1.02405,0.00121679,0.00121679,0.00121679
5,118.919,0.93198,0.66988,1.0395,0.91049,0.87741,0.93852,0.72608,0.72736,0.47249,0.93667,0.00114606,0.00114606,0.00114606
6,141.627,0.89901,0.64465,1.02784,0.92307,0.86609,0.93948,0.70941,0.78162,0.48763,0.95762,0.00107532,0.00107532,0.00107532
7,163.86,0.87858,0.62906,1.025,0.89924,0.84433,0.91534,0.6798,0.84528,0.54848,1.01048,0.00100459,0.00100459,0.00100459
8,186.478,0.85738,0.6246,1.01983,0.94936,0.88033,0.9467,0.73408,0.71154,0.46563,0.93868,0.000933851,0.000933851,0.000933851
9,208.962,0.85109,0.60367,1.01285,0.93832,0.8881,0.93951,0.73931,0.68085,0.44685,0.92423,0.000863116,0.000863116,0.000863116
10,231.671,0.81352,0.58425,0.99525,0.9486,0.85712,0.94039,0.71387,0.75135,0.46066,0.94773,0.00079238,0.00079238,0.00079238
11,274.551,0.72688,0.46593,0.9483,0.95598,0.88219,0.95061,0.75576,0.67947,0.42592,0.91828,0.000721645,0.000721645,0.000721645
12,298.556,0.70766,0.44916,0.94329,0.93157,0.88277,0.94656,0.7552,0.68045,0.42627,0.92488,0.000650909,0.000650909,0.000650909
13,322.571,0.6906,0.4429,0.93773,0.94649,0.8708,0.94962,0.75983,0.65501,0.41821,0.91976,0.000580174,0.000580174,0.000580174
14,346.489,0.67235,0.42777,0.92998,0.96373,0.88221,0.95103,0.77042,0.65588,0.40961,0.91678,0.000509438,0.000509438,0.000509438
15,370.361,0.65415,0.42017,0.92266,0.93155,0.8957,0.95286,0.77158,0.64145,0.39925,0.91436,0.000438703,0.000438703,0.000438703
16,394.33,0.644,0.41102,0.9207,0.95314,0.90845,0.95963,0.78501,0.62414,0.38521,0.90516,0.000367967,0.000367967,0.000367967
17,418.127,0.62773,0.39247,0.91211,0.94964,0.90222,0.95512,0.7897,0.60854,0.37357,0.89955,0.000297232,0.000297232,0.000297232
18,441.712,0.61564,0.38193,0.90703,0.95568,0.90452,0.95695,0.7964,0.58617,0.36243,0.88699,0.000226497,0.000226497,0.000226497
19,465.888,0.58306,0.36578,0.89543,0.96142,0.90324,0.96179,0.80247,0.57862,0.35984,0.8847,0.000155761,0.000155761,0.000155761
20,490.406,0.58088,0.3607,0.88941,0.96134,0.90318,0.9591,0.80287,0.58073,0.35494,0.88882,8.50255e-05,8.50255e-05,8.50255e-05
