epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5711,1.48268,2.53969,1.37522,0.73458,0.4324,0.5676,0.30008,1.46039,1.87443,1.2809,0.000472003,0.000472003,0.000472003
2,46.4558,1.27155,1.45518,1.24998,0.78454,0.57483,0.6732,0.4014,1.25504,1.33969,1.19924,0.000938948,0.000938948,0.000938948
3,66.9857,1.24099,1.18371,1.25004,0.7334,0.65331,0.70603,0.44809,1.1377,1.05563,1.15464,0.00139646,0.00139646,0.00139646
4,87.6186,1.19862,1.0273,1.21393,0.81585,0.71472,0.78577,0.46188,1.18058,0.84948,1.1836,0.00138656,0.00138656,0.00138656
5,108.235,1.15821,0.93058,1.19551,0.87082,0.73908,0.80756,0.51899,1.0819,0.81587,1.14517,0.00137241,0.00137241,0.00137241
6,128.895,1.12873,0.89405,1.18045,0.85457,0.7238,0.80215,0.51102,1.02195,0.70048,1.1172,0.00135826,0.00135826,0.00135826
7,149.224,1.09776,0.85821,1.16708,0.87741,0.77326,0.8318,0.50121,1.17299,0.69627,1.17872,0.00134412,0.00134412,0.00134412
8,169.756,1.09309,0.83096,1.15391,0.86704,0.79006,0.82601,0.53247,1.10296,0.65469,1.10996,0.00132997,0.00132997,0.00132997
9,190.104,1.06868,0.79381,1.14759,0.88336,0.77323,0.82462,0.54268,1.05718,0.66461,1.12401,0.00131582,0.00131582,0.00131582
10,210.509,1.03124,0.76197,1.12805,0.86988,0.73091,0.81342,0.52459,0.99524,0.6892,1.08267,0.00130168,0.00130168,0.00130168
11,230.905,1.00893,0.75204,1.11614,0.88564,0.74659,0.8214,0.5512,1.04825,0.62958,1.10628,0.00128753,0.00128753,0.00128753
12,251.21,1.02941,0.74713,1.1236,0.88352,0.762,0.83005,0.55175,0.95099,0.62146,1.08276,0.00127338,0.00127338,0.00127338
13,271.826,0.99135,0.72252,1.11311,0.9075,0.76022,0.84099,0.56076,0.97962,0.61641,1.0792,0.00125923,0.00125923,0.00125923
14,292.075,0.98164,0.69693,1.10991,0.93493,0.74552,0.83693,0.5845,0.94316,0.57566,1.0465,0.00124509,0.00124509,0.00124509
15,312.653,0.97292,0.69759,1.10561,0.88398,0.75928,0.8436,0.58337,0.9775,0.61393,1.06394,0.00123094,0.00123094,0.00123094
16,333.112,0.96571,0.68494,1.09546,0.89563,0.77885,0.84646,0.57841,0.92416,0.57383,1.04576,0.00121679,0.00121679,0.00121679
17,353.745,0.96216,0.69276,1.09347,0.92846,0.76242,0.83961,0.57931,0.95372,0.59256,1.05297,0.00120265,0.00120265,0.00120265
18,374.24,0.94392,0.67051,1.08601,0.88228,0.78401,0.86451,0.60247,0.90718,0.54775,1.04882,0.0011885,0.0011885,0.0011885
19,395.16,0.95109,0.66126,1.08979,0.91874,0.75187,0.84205,0.58817,0.89226,0.57163,1.04581,0.00117435,0.00117435,0.00117435
20,415.87,0.94476,0.65732,1.09221,0.86765,0.794,0.84856,0.61584,0.84196,0.55391,1.01979,0.00116021,0.00116021,0.00116021
21,436.833,0.92283,0.64426,1.08029,0.90857,0.75778,0.85469,0.60284,0.87199,0.54648,1.02897,0.00114606,0.00114606,0.00114606
22,457.052,0.93264,0.6511,1.08873,0.77316,0.61906,0.73168,0.47814,1.08591,0.86226,1.14499,0.00113191,0.00113191,0.00113191
23,477.362,0.92436,0.64985,1.07627,0.89398,0.77194,0.85119,0.57446,0.97164,0.54629,1.07162,0.00111776,0.00111776,0.00111776
24,497.866,0.92276,0.63601,1.07768,0.92409,0.76804,0.854,0.61683,0.85524,0.52869,1.03031,0.00110362,0.00110362,0.00110362
25,518.282,0.90734,0.62252,1.06982,0.91238,0.77232,0.8453,0.61044,0.84355,0.52479,1.01778,0.00108947,0.00108947,0.00108947
26,538.676,0.91017,0.62822,1.07544,0.89613,0.79405,0.86927,0.62388,0.88825,0.5202,1.04114,0.00107532,0.00107532,0.00107532
27,559.059,0.89582,0.62051,1.06341,0.89473,0.79595,0.86006,0.62683,0.83122,0.49816,1.01938,0.00106118,0.00106118,0.00106118
28,579.673,0.87714,0.61219,1.06242,0.91499,0.77659,0.84652,0.60647,0.87409,0.52667,1.04433,0.00104703,0.00104703,0.00104703
29,600.217,0.87994,0.60152,1.05546,0.91976,0.78934,0.86795,0.63269,0.84615,0.50882,1.01901,0.00103288,0.00103288,0.00103288
30,620.759,0.88074,0.6053,1.05887,0.89651,0.76794,0.85016,0.59583,0.88792,0.55096,1.04206,0.00101873,0.00101873,0.00101873
31,641.741,0.87599,0.59446,1.05076,0.90199,0.78689,0.86115,0.61467,0.88863,0.51477,1.03584,0.00100459,0.00100459,0.00100459
32,662.06,0.88286,0.60875,1.05992,0.93018,0.76609,0.86437,0.63237,0.86233,0.52101,1.01426,0.00099044,0.00099044,0.00099044
33,682.687,0.86068,0.59509,1.0483,0.90477,0.79019,0.85968,0.6148,0.8511,0.50166,1.00423,0.000976293,0.000976293,0.000976293
34,703.141,0.85577,0.57944,1.05081,0.92178,0.77907,0.85244,0.62389,0.84425,0.51969,1.02659,0.000962146,0.000962146,0.000962146
35,723.806,0.85736,0.58085,1.05501,0.92707,0.78385,0.86511,0.63179,0.83903,0.50832,1.02009,0.000947999,0.000947999,0.000947999
36,744.531,0.8457,0.58113,1.04151,0.9105,0.80015,0.86058,0.63377,0.82048,0.49307,1.00845,0.000933851,0.000933851,0.000933851
37,765.201,0.84358,0.567,1.04172,0.92843,0.78178,0.86232,0.62577,0.83906,0.49875,1.02013,0.000919704,0.000919704,0.000919704
38,785.523,0.83984,0.56998,1.04494,0.92091,0.7681,0.85858,0.59202,0.94798,0.52787,1.07021,0.000905557,0.000905557,0.000905557
39,805.756,0.84245,0.57108,1.04344,0.90259,0.79611,0.86942,0.62227,0.83985,0.49897,1.01994,0.00089141,0.00089141,0.00089141
40,826.118,0.82117,0.56942,1.02862,0.9323,0.76002,0.86675,0.63467,0.81736,0.4886,1.00484,0.000877263,0.000877263,0.000877263
41,846.637,0.8238,0.54996,1.02919,0.92742,0.78241,0.87839,0.64453,0.78596,0.47691,0.99213,0.000863116,0.000863116,0.000863116
42,867.278,0.82873,0.56104,1.03534,0.91715,0.7781,0.86734,0.63402,0.82595,0.48123,1.00982,0.000848969,0.000848969,0.000848969
